year,in_new_units,out_new_units,in_new_sqft,out_new_sqft,in_new_bldgs,out_new_bldgs,in_new_retail_jobs,out_new_retail_jobs,in_new_industrial_jobs,out_new_industrial_jobs,in_new_office_jobs,out_new_office_jobs,in_new_jobs,out_new_jobs
2020,2050,11389,5049102,39412631,205,1581,-8317,-9182,-1234,-1572,-15943,-31547,-25494,-42301
2021,1900,7823,4792893,24649144,153,954,8751,9930,1910,11538,24697,44678,35358,66146
2022,2536,11770,6675526,39199045,223,1393,-1677,-2047,1517,4720,26439,36182,26279,38855
2023,6233,8127,17028302,26472402,392,892,4105,1114,1164,7083,14252,18946,19521,27143
2024,5204,10926,14129084,38905186,404,1462,1822,-118,506,4512,11323,14540,13651,18934
2025,5114,12343,13816387,43924799,345,1551,50,295,826,4033,7412,11397,8288,15725
2026,5716,14130,15809416,51433166,373,1637,471,745,620,3465,6418,8931,7509,13141
2027,7211,12932,20412265,47433725,403,1790,616,808,373,2475,5603,10116,6592,13399
2028,5274,14682,15425160,52353425,328,1519,984,852,-145,1209,6013,10820,6852,12881
2029,6163,14269,17399928,52080818,425,1723,1612,1557,-196,2194,7607,13372,9023,17123
2030,4530,14099,13304804,51203161,314,1714,2446,2043,-98,796,2728,7516,5076,10355
2031,6303,14556,18182916,49567040,445,1545,271,495,-138,980,3351,6334,3484,7809
2032,6486,15073,18283793,53287664,470,1925,1479,1845,-305,1537,4355,8141,5529,11523
2033,6726,15690,19491543,56226911,422,2115,1593,1844,-644,1244,4102,7160,5051,10248
2034,5381,17186,15128025,59297334,371,1946,1834,2065,-246,1537,6904,10254,8492,13856
2035,4731,14658,13012544,53955869,323,2052,1981,1903,-354,-478,4391,9447,6018,10872
2036,6431,15329,18112958,58039274,336,2149,1571,2128,-365,-62,6129,10971,7335,13037
2037,5883,15535,16566485,58793419,273,2148,2111,2394,-454,-66,6034,11678,7691,14006
2038,6316,15947,18587116,62749537,375,2805,1237,1835,-420,-25,6420,11070,7237,12880
2039,4712,17539,13848093,67512364,357,2823,1654,2150,-482,-59,6450,10396,7622,12487
2040,4258,14931,12446074,61444158,271,2266,1430,2038,-314,-498,7732,10652,8848,12192
2041,5435,19565,16274959,80145351,412,3664,1961,2563,-473,-172,5443,10369,6931,12760
2042,5783,18584,18257014,66533942,324,3391,1870,2254,-227,680,5705,10529,7348,13463
2043,4025,13894,12050698,47647137,276,3081,2078,2745,-236,534,5054,10823,6896,14102
2044,4419,12091,12736236,39531726,271,2730,1844,2803,-655,1067,3435,13284,4624,17154
2045,3898,15284,10973800,52524052,213,3029,2023,3233,-164,579,5230,10640,7089,14452
2046,3955,35760,11916913,142698857,204,6212,1653,3105,-472,607,4548,11661,5729,15373
2047,3374,6356,9964043,19536820,167,1696,2161,3398,-488,6,3887,11128,5560,14532
2048,1792,10098,4804569,34468554,117,1812,2580,3357,-256,-328,4883,9468,7207,12497
2049,2401,5940,6671558,17536890,118,1526,2274,3193,-339,-388,4332,10312,6267,13117
2050,1754,5953,4731602,18598853,124,1476,1540,2912,-420,-682,3970,10124,5090,12354
