,Year,county_id,job_spaces,building_id,year_built,residential_units
0,2019,11,178228.0,10020579328.0,174700556.0,118832.0
1,2019,35,875299.0,83355791858.0,534479084.0,429018.0
2,2019,49,324900.0,79520815557.0,283641382.0,192008.0
3,2019,57,139721.0,12224476362.0,134767002.0,92595.0
4,2020,11,184104.0,10127708803.0,174911533.0,119954.0
5,2020,35,915412.0,83969263108.0,535590095.0,434970.0
6,2020,49,334068.0,80366368076.0,285830458.0,198037.0
7,2020,57,140266.0,12286078738.0,134899986.0,93520.0
8,2025,11,207855.0,11055002896.0,176544504.0,132514.0
9,2025,35,1047786.0,87674316155.0,541800233.0,470712.0
10,2025,49,400229.0,86812354477.0,302409987.0,237253.0
11,2025,57,149470.0,13062670166.0,136450743.0,101541.0
12,2030,11,214846.0,12219572191.0,178204101.0,147302.0
13,2030,35,1118876.0,91267609525.0,547469135.0,508947.0
14,2030,49,434677.0,90628855599.0,311880748.0,276488.0
15,2030,57,155916.0,13807571931.0,137822454.0,110937.0
16,2040,11,226825.0,16070092449.0,181973402.0,180803.0
17,2040,35,1229510.0,102610730319.0,559545236.0,593401.0
18,2040,49,495310.0,97401970542.0,327927747.0,351376.0
19,2040,57,165088.0,15666826911.0,140838230.0,131002.0
20,2050,11,247853.0,22037654487.0,185817967.0,212129.0
21,2050,35,1330094.0,106513616087.0,561359587.0,613225.0
22,2050,49,573750.0,103939769519.0,342627917.0,426414.0
23,2050,57,176718.0,17823943833.0,143735583.0,152103.0
