,Year,county_id,locnote,residential_units,job_spaces
0,2019,11.0,Special District,1643.0,979.0
1,2019,11.0,WFRCCenters,13897.0,72479.0
2,2019,35.0,CBDStaging,4445.0,63005.0
3,2019,35.0,Jones Ranch,18.0,0.0
4,2019,35.0,Special District,0.0,500.0
5,2019,35.0,WFRCCenters,39648.0,337628.0
6,2019,35.0,WestBenchFutureLandUse,643.0,13.0
7,2019,35.0,WestBenchStaging,1.0,0.0
8,2019,49.0,Downtown Provo,1292.0,14914.0
9,2019,49.0,Test,695.0,318.0
10,2019,49.0,test2,142.0,125.0
11,2019,57.0,CBDStaging,2451.0,12924.0
12,2019,57.0,Special District,148.0,3245.0
13,2019,57.0,WFRCCenters,7587.0,66658.0
14,2019,57.0,WestWeberStaging,12.0,353.0
15,2020,11.0,Special District,1643.0,979.0
16,2020,11.0,WFRCCenters,14413.0,76877.0
17,2020,35.0,CBDStaging,5140.0,70873.0
18,2020,35.0,Jones Ranch,54.0,0.0
19,2020,35.0,Special District,0.0,791.0
20,2020,35.0,WFRCCenters,41379.0,354102.0
21,2020,35.0,WestBenchFutureLandUse,643.0,13.0
22,2020,35.0,WestBenchStaging,1.0,0.0
23,2020,49.0,Downtown Provo,2253.0,15289.0
24,2020,49.0,Downtown Vineyard,0.0,118.0
25,2020,49.0,No build,0.0,150.0
26,2020,49.0,Test,695.0,318.0
27,2020,49.0,test2,142.0,125.0
28,2020,57.0,CBDStaging,2514.0,13469.0
29,2020,57.0,Special District,148.0,3245.0
30,2020,57.0,WFRCCenters,7998.0,66658.0
31,2020,57.0,WestWeberStaging,12.0,353.0
32,2025,11.0,Special District,1699.0,979.0
33,2025,11.0,WFRCCenters,22546.0,93342.0
34,2025,35.0,CBDStaging,8101.0,95884.0
35,2025,35.0,Jones Ranch,311.0,1004.0
36,2025,35.0,Special District,0.0,1079.0
37,2025,35.0,WFRCCenters,57497.0,413798.0
38,2025,35.0,WestBenchFutureLandUse,728.0,95.0
39,2025,35.0,WestBenchStaging,1.0,57.0
40,2025,49.0,Downtown Provo,7198.0,21895.0
41,2025,49.0,Downtown Vineyard,1317.0,118.0
42,2025,49.0,No build,0.0,150.0
43,2025,49.0,Test,697.0,464.0
44,2025,49.0,test2,142.0,125.0
45,2025,57.0,CBDStaging,2610.0,15419.0
46,2025,57.0,Special District,148.0,3245.0
47,2025,57.0,WFRCCenters,11750.0,71558.0
48,2025,57.0,WestWeberStaging,62.0,740.0
49,2030,11.0,Special District,1824.0,979.0
50,2030,11.0,WFRCCenters,31189.0,97539.0
51,2030,35.0,CBDStaging,9505.0,106498.0
52,2030,35.0,Jones Ranch,409.0,1325.0
53,2030,35.0,Special District,0.0,1079.0
54,2030,35.0,WFRCCenters,73635.0,438634.0
55,2030,35.0,WestBenchFutureLandUse,919.0,173.0
56,2030,35.0,WestBenchStaging,1.0,57.0
57,2030,49.0,Downtown Provo,9262.0,22838.0
58,2030,49.0,Downtown Vineyard,3655.0,284.0
59,2030,49.0,No build,0.0,150.0
60,2030,49.0,Test,1519.0,464.0
61,2030,49.0,test2,142.0,125.0
62,2030,57.0,CBDStaging,3211.0,16717.0
63,2030,57.0,Special District,148.0,3245.0
64,2030,57.0,WFRCCenters,15546.0,75297.0
65,2030,57.0,WestWeberStaging,113.0,850.0
66,2040,11.0,Special District,1848.0,979.0
67,2040,11.0,WFRCCenters,45402.0,101562.0
68,2040,35.0,CBDStaging,10131.0,126161.0
69,2040,35.0,Jones Ranch,1004.0,1683.0
70,2040,35.0,Special District,0.0,1079.0
71,2040,35.0,WFRCCenters,102144.0,464687.0
72,2040,35.0,WestBenchFutureLandUse,1418.0,407.0
73,2040,35.0,WestBenchStaging,4.0,57.0
74,2040,49.0,Downtown Provo,11020.0,23721.0
75,2040,49.0,Downtown Vineyard,4317.0,284.0
76,2040,49.0,No build,0.0,150.0
77,2040,49.0,Test,9610.0,591.0
78,2040,49.0,test2,547.0,125.0
79,2040,57.0,CBDStaging,4771.0,18421.0
80,2040,57.0,Special District,148.0,3245.0
81,2040,57.0,WFRCCenters,23646.0,78957.0
82,2040,57.0,WestWeberStaging,129.0,867.0
83,2050,11.0,Special District,1860.0,992.0
84,2050,11.0,WFRCCenters,56402.0,103376.0
85,2050,35.0,CBDStaging,10682.0,134096.0
86,2050,35.0,Jones Ranch,1004.0,1683.0
87,2050,35.0,Special District,0.0,1079.0
88,2050,35.0,WFRCCenters,109342.0,503832.0
89,2050,35.0,WestBenchFutureLandUse,4637.0,478.0
90,2050,35.0,WestBenchStaging,4.0,57.0
91,2050,49.0,Downtown Provo,11753.0,24766.0
92,2050,49.0,Downtown Vineyard,4317.0,422.0
93,2050,49.0,No build,0.0,150.0
94,2050,49.0,Test,40356.0,4744.0
95,2050,49.0,test2,3512.0,125.0
96,2050,57.0,CBDStaging,7449.0,20888.0
97,2050,57.0,Special District,148.0,3245.0
98,2050,57.0,WFRCCenters,30324.0,84854.0
99,2050,57.0,WestWeberStaging,182.0,891.0
