,Year,NuDeve_SF,NuDeve_MF,NuDeve_DU,NuDeve_JS,Redeve_SF,Redeve_MF,Redeve_DU,Redeve_JS,Utah,DU_Built,JS_Built
0,2019.0,103.0,72.0,175.0,0.0,0.0,39.0,39.0,0.0,2019.0,214.0,0.0
1,2020.0,3449.0,1073.0,4522.0,7597.0,294.0,789.0,1083.0,697.0,2020.0,5605.0,8294.0
2,2021.0,2394.0,832.0,3226.0,0.0,207.0,166.0,373.0,0.0,2021.0,3599.0,0.0
3,2022.0,4375.0,1674.0,6049.0,12091.0,309.0,327.0,636.0,604.0,2022.0,6685.0,12695.0
4,2023.0,4687.0,1851.0,6538.0,17490.0,375.0,466.0,841.0,1160.0,2023.0,7379.0,18650.0
5,2024.0,5122.0,1565.0,6687.0,12262.0,363.0,705.0,1068.0,1888.0,2024.0,7755.0,14150.0
6,2025.0,5761.0,871.0,6632.0,9939.0,531.0,1060.0,1591.0,597.0,2025.0,8223.0,10536.0
7,2026.0,5604.0,1825.0,7429.0,6909.0,515.0,396.0,911.0,701.0,2026.0,8340.0,7610.0
8,2027.0,5335.0,1695.0,7030.0,5988.0,494.0,575.0,1069.0,433.0,2027.0,8099.0,6421.0
9,2028.0,5671.0,1372.0,7043.0,5583.0,543.0,364.0,907.0,337.0,2028.0,7950.0,5920.0
10,2029.0,5332.0,1578.0,6910.0,5664.0,474.0,416.0,890.0,672.0,2029.0,7800.0,6336.0
11,2030.0,5640.0,1181.0,6821.0,7389.0,517.0,288.0,805.0,1011.0,2030.0,7626.0,8400.0
12,2031.0,5970.0,979.0,6949.0,5166.0,407.0,258.0,665.0,76.0,2031.0,7614.0,5242.0
13,2032.0,6011.0,867.0,6878.0,3673.0,635.0,307.0,942.0,779.0,2032.0,7820.0,4452.0
14,2033.0,5885.0,967.0,6852.0,5283.0,525.0,387.0,912.0,124.0,2033.0,7764.0,5407.0
15,2034.0,5833.0,702.0,6535.0,4845.0,1003.0,228.0,1231.0,515.0,2034.0,7766.0,5360.0
16,2035.0,5573.0,1077.0,6650.0,6621.0,696.0,462.0,1158.0,245.0,2035.0,7808.0,6866.0
17,2036.0,5619.0,741.0,6360.0,6398.0,1006.0,265.0,1271.0,247.0,2036.0,7631.0,6645.0
18,2037.0,6089.0,520.0,6609.0,6203.0,812.0,227.0,1039.0,536.0,2037.0,7648.0,6739.0
19,2038.0,4504.0,760.0,5264.0,7292.0,1805.0,398.0,2203.0,430.0,2038.0,7467.0,7722.0
20,2039.0,5957.0,529.0,6486.0,6709.0,929.0,128.0,1057.0,394.0,2039.0,7543.0,7103.0
21,2040.0,5833.0,504.0,6337.0,6815.0,1004.0,114.0,1118.0,470.0,2040.0,7455.0,7285.0
22,2041.0,6385.0,399.0,6784.0,7037.0,1090.0,258.0,1348.0,530.0,2041.0,8132.0,7567.0
23,2042.0,6104.0,489.0,6593.0,5311.0,894.0,292.0,1186.0,4068.0,2042.0,7779.0,9379.0
24,2043.0,6002.0,279.0,6281.0,6437.0,1334.0,94.0,1428.0,120.0,2043.0,7709.0,6557.0
25,2044.0,6137.0,167.0,6304.0,7566.0,1143.0,190.0,1333.0,411.0,2044.0,7637.0,7977.0
26,2045.0,6109.0,204.0,6313.0,9006.0,1104.0,164.0,1268.0,35.0,2045.0,7581.0,9041.0
27,2046.0,6666.0,43.0,6709.0,8376.0,785.0,41.0,826.0,433.0,2046.0,7535.0,8809.0
28,2047.0,6123.0,134.0,6257.0,7174.0,906.0,370.0,1276.0,985.0,2047.0,7533.0,8159.0
29,2048.0,6539.0,172.0,6711.0,7826.0,820.0,37.0,857.0,338.0,2048.0,7568.0,8164.0
30,2049.0,5787.0,93.0,5880.0,7374.0,1640.0,104.0,1744.0,287.0,2049.0,7624.0,7661.0
31,2050.0,6797.0,15.0,6812.0,7442.0,774.0,94.0,868.0,650.0,2050.0,7680.0,8092.0
