,Year,NuDeve_SF,NuDeve_MF,NuDeve_DU,NuDeve_JS,Redeve_SF,Redeve_MF,Redeve_DU,Redeve_JS,Weber,DU_Built,JS_Built
0,2019.0,28.0,7.0,35.0,0.0,6.0,3.0,9.0,0.0,2019.0,44.0,0.0
1,2020.0,309.0,516.0,825.0,395.0,32.0,89.0,121.0,150.0,2020.0,946.0,545.0
2,2021.0,539.0,621.0,1160.0,0.0,106.0,177.0,283.0,0.0,2021.0,1443.0,0.0
3,2022.0,505.0,907.0,1412.0,1579.0,39.0,155.0,194.0,471.0,2022.0,1606.0,2050.0
4,2023.0,599.0,478.0,1077.0,1573.0,55.0,335.0,390.0,833.0,2023.0,1467.0,2406.0
5,2024.0,739.0,474.0,1213.0,1586.0,125.0,394.0,519.0,554.0,2024.0,1732.0,2140.0
6,2025.0,705.0,716.0,1421.0,1890.0,80.0,252.0,332.0,699.0,2025.0,1753.0,2589.0
7,2026.0,778.0,733.0,1511.0,658.0,113.0,194.0,307.0,194.0,2026.0,1818.0,852.0
8,2027.0,541.0,862.0,1403.0,1914.0,125.0,334.0,459.0,625.0,2027.0,1862.0,2539.0
9,2028.0,817.0,434.0,1251.0,515.0,166.0,819.0,985.0,365.0,2028.0,2236.0,880.0
10,2029.0,665.0,949.0,1614.0,890.0,80.0,246.0,326.0,145.0,2029.0,1940.0,1035.0
11,2030.0,1019.0,894.0,1913.0,752.0,60.0,195.0,255.0,222.0,2030.0,2168.0,974.0
12,2031.0,710.0,475.0,1185.0,1022.0,233.0,500.0,733.0,400.0,2031.0,1918.0,1422.0
13,2032.0,916.0,653.0,1569.0,0.0,176.0,358.0,534.0,0.0,2032.0,2103.0,0.0
14,2033.0,1020.0,647.0,1667.0,555.0,142.0,350.0,492.0,297.0,2033.0,2159.0,852.0
15,2034.0,911.0,556.0,1467.0,443.0,163.0,565.0,728.0,984.0,2034.0,2195.0,1427.0
16,2035.0,700.0,1415.0,2115.0,655.0,197.0,381.0,578.0,334.0,2035.0,2693.0,989.0
17,2036.0,571.0,582.0,1153.0,28.0,89.0,301.0,390.0,1596.0,2036.0,1543.0,1624.0
18,2037.0,782.0,632.0,1414.0,326.0,208.0,577.0,785.0,78.0,2037.0,2199.0,404.0
19,2038.0,697.0,696.0,1393.0,74.0,181.0,479.0,660.0,893.0,2038.0,2053.0,967.0
20,2039.0,673.0,380.0,1053.0,393.0,125.0,866.0,991.0,621.0,2039.0,2044.0,1014.0
21,2040.0,774.0,436.0,1210.0,821.0,211.0,684.0,895.0,668.0,2040.0,2105.0,1489.0
22,2041.0,755.0,902.0,1657.0,963.0,230.0,518.0,748.0,634.0,2041.0,2405.0,1597.0
23,2042.0,1051.0,514.0,1565.0,467.0,199.0,634.0,833.0,716.0,2042.0,2398.0,1183.0
24,2043.0,772.0,530.0,1302.0,274.0,301.0,863.0,1164.0,2816.0,2043.0,2466.0,3090.0
25,2044.0,744.0,623.0,1367.0,263.0,164.0,936.0,1100.0,527.0,2044.0,2467.0,790.0
26,2045.0,922.0,490.0,1412.0,295.0,249.0,591.0,840.0,470.0,2045.0,2252.0,765.0
27,2046.0,706.0,272.0,978.0,927.0,263.0,1019.0,1282.0,980.0,2046.0,2260.0,1907.0
28,2047.0,855.0,278.0,1133.0,732.0,223.0,1054.0,1277.0,1096.0,2047.0,2410.0,1828.0
29,2048.0,1187.0,180.0,1367.0,1010.0,301.0,549.0,850.0,992.0,2048.0,2217.0,2002.0
30,2049.0,849.0,117.0,966.0,295.0,273.0,1076.0,1349.0,1233.0,2049.0,2315.0,1528.0
31,2050.0,1217.0,165.0,1382.0,443.0,168.0,376.0,544.0,1081.0,2050.0,1926.0,1524.0
