NAME,HHSBaseYear,HHS2019,HHS2020,HHS2025,HHS2030,HHS2040,HHS2050
Alpine,2610,2616,2657,2820,2955,3324,3615
American Fork,10010,10013,10207,11633,12789,14549,15600
Bluffdale,4781,4785,4812,5387,6017,8274,10737
Bountiful,14986,14980,15072,15673,16391,18464,20333
Cedar Fort,153,152,157,159,254,1392,4711
Cedar Hills,2498,2499,2535,2640,2699,2791,2856
Centerville,5630,5620,5660,6037,6347,6929,8247
Clearfield,10156,10222,10380,11761,13181,16455,18899
Clinton,6854,6824,6847,7009,7171,9234,11228
Copperton,304,304,310,338,365,390,415
Cottonwood Heights,12864,12867,12999,13507,13903,15632,18890
Draper,15729,15759,16155,18048,20258,26420,31902
Eagle Mountain,10260,10276,10623,14125,18365,27972,37878
Elk Ridge,1158,1155,1184,1326,1443,1661,1872
Fairfield,54,54,54,55,60,65,307
Farmington,7147,7142,7257,9620,11609,14605,16504
Farr West,2376,2377,2399,2554,2636,3021,3596
Fruit Heights,1898,1896,1913,1959,2035,2312,2645
Genola,405,401,407,442,481,611,833
Goshen,320,315,321,335,341,344,360
Harrisville,2214,2213,2228,2360,2588,3107,4095
Herriman,15257,15259,15503,17763,20041,25139,26827
Highland,4607,4613,4709,5192,5716,6605,7172
Holladay,11563,11587,11698,12170,12569,13689,14352
Hooper,2566,2553,2581,2803,3093,3695,4373
Kaysville,9010,8991,9036,9484,9900,11075,13126
Kearns Township,10034,10024,10070,10190,10312,10660,11316
Layton,25860,25883,26101,28061,30927,38359,45652
Lehi,20501,20520,21058,24014,26022,28932,31004
Lindon,2970,2968,3022,3227,3449,3875,4135
Magna Township,8581,8557,8645,9094,9929,12873,14679
Mapleton,2952,2956,3010,3542,4284,5668,6920
Marriott-Slaterville,667,663,670,751,827,1016,1200
Midvale,13435,13472,13871,16169,18167,20977,21847
Millcreek,24585,24602,24968,26541,27783,30574,32750
Murray,20107,20117,20402,22274,24292,27999,30151
North Ogden,6798,6779,6831,7310,8249,10462,12692
North Salt Lake,7076,7093,7160,7633,7970,8726,9206
Ogden,31555,31588,31766,33542,35462,39019,43165
Orem,27645,27722,28581,31484,32802,34639,35930
Payson,5992,5990,6203,7188,8306,10894,13098
Plain City,2224,2227,2309,2840,3231,4105,5198
Pleasant Grove,10570,10589,10891,11949,12736,14159,15107
Pleasant View,3192,3194,3237,3514,3799,4393,4954
Provo,31300,31285,32630,40070,46316,53292,56853
Riverdale,3314,3310,3367,3626,4052,4827,5983
Riverton,12684,12688,12757,13249,13899,16123,18024
Roy,12978,12943,12997,13479,13796,14524,15223
Salem,2523,2522,2602,3790,5477,9068,11925
Salt Lake City,81606,81685,83450,94658,104103,116340,123630
Sandy,32879,32891,33187,34878,36848,42780,48068
Santaquin,3538,3524,3597,4232,4838,5974,6942
Saratoga Springs,9380,9380,9838,14935,20437,32343,40577
South Jordan,24509,24538,24811,27095,30900,40945,49900
South Ogden,6522,6518,6554,6819,7137,7686,8353
South Salt Lake,10632,10633,10822,11880,13392,16420,17891
South Weber,2221,2214,2228,2316,2360,2603,3097
Spanish Fork,11306,11288,11529,12998,14613,17532,19494
Springville,10066,10040,10223,11605,13098,16418,18367
Sunset,1873,1881,1892,2075,2235,2709,3055
Syracuse,8668,8662,8744,10335,12980,16238,19190
Taylorsville,20216,20208,20376,20629,20943,21265,22184
Uintah,438,434,435,445,481,516,538
Vineyard,4131,4141,4301,5800,8144,10066,10425
Washington Terrace,3292,3286,3301,3383,3441,3821,4057
West Bountiful,1826,1816,1827,1868,1957,2228,2628
West Haven,5376,5415,5625,7357,9017,11776,14113
West Jordan,34821,34834,35162,37243,39820,46213,49726
West Point,3145,3130,3182,4183,5079,7368,9035
West Valley City,40216,40171,40572,42481,44246,48491,51106
White City Township,1823,1817,1823,1845,1856,1894,2129
Woodland Hills,416,416,428,494,594,774,946
Woods Cross,3427,3434,3504,3944,4664,5825,6501
